week_start	Neurophysiology
2025-06-16	14246160
2025-06-23	18130356
2025-06-30	9352284
2025-07-14	1156608
2025-07-28	9352284
2025-08-25	9352284
2025-09-29	9352284
2025-10-06	36553612
2025-12-15	24993336
2026-01-26	9352284
2026-02-16	14559328
2026-02-23	8860132
2026-03-02	4468088
2026-03-23	10619044
2026-03-30	19527556
2026-04-06	18704568
2026-04-13	9352284
2026-04-20	9352284
2026-05-04	9352284
2026-05-11	18704568
2026-05-18	26924980
2026-05-25	22528860
2026-06-01	23177480
2026-06-08	3038196
2026-06-22	28908456
