week_start	undetermined
2021-04-05	2682879397779
2021-04-12	18584326179
2021-04-19	4498969918781
2021-04-26	87468218355
2021-05-03	855923675359
2021-05-10	954229544280
2021-05-17	22482811477
2021-05-24	370518266
2021-05-31	2068658159
2021-06-07	6699900413
2021-06-14	31501069965
2021-06-28	45328510
2021-07-05	2524790844681
2021-07-12	10397428698063
2021-07-19	4539807466734
2021-07-26	46100517961
2021-08-02	875990342743
2021-08-09	1794317003394
2021-08-16	1535653775926
2021-08-23	59284014
2021-08-30	66753028741
2021-09-06	125628727
2021-09-13	13739849565
2021-09-20	13340395582
2021-09-27	59544183308269
2021-10-04	43147084282863
2021-10-11	10471999270
2021-10-18	901364644
2021-10-25	56746652434
2021-11-01	173685688385
2021-11-08	22316262766140
2021-11-15	10040044005524
2021-11-22	1395064482029
2021-11-29	1436154055609
2021-12-06	281863393155
2021-12-13	19311924
2021-12-20	50886895225192
2021-12-27	7061777634700
2022-01-03	902454824924
2022-01-10	48746188667
2022-01-17	456570208493
2022-01-24	356355306059
2022-01-31	394970559174
2022-02-07	51623355669
2022-02-14	86329529587
2022-02-21	5772706128
2022-02-28	1538954081
2022-03-07	662867486
2022-03-14	93145852424
2022-03-21	2376767399230
2022-03-28	732061195722
2022-04-04	17604722984
2022-04-11	147506191052
2022-04-18	354123357959
2022-04-25	135732421141
2022-05-02	177952234452
2022-05-09	98101901016
2022-05-16	667252879
2022-05-23	293439058454
2022-05-30	15344542515
2022-06-06	144678590604
2022-06-13	120248540735
2022-06-20	571866740
2022-06-27	80718009737
2022-07-04	853904319
2022-07-11	214852951773297
2022-07-18	34645697159
2022-07-25	8433864752730
2022-08-01	51288629422265
2022-08-08	150192531906386
2022-08-15	146502009445
2022-08-22	213019655647882
2022-08-29	69653049114323
2022-09-05	3975543601965
2022-09-12	1663647934292
2022-09-19	983549184870
2022-09-26	176614132489
2022-10-03	162221772082
2022-10-10	43819552225
2022-10-17	9952102156
2022-10-24	168413768190
2022-10-31	21413467794946
2022-11-07	5958471354639
2022-11-14	3123734820
2022-11-21	118897741937
2022-11-28	11421912777
2022-12-05	291840351622
2022-12-12	241290543212
2022-12-19	114726201595
2022-12-26	15462812
2023-01-02	79240986002
2023-01-09	185044357769
2023-01-16	65959174419
2023-01-23	153585970893
2023-01-30	112366786265
2023-02-06	474680537422
2023-02-13	21335743508931
2023-02-20	24546410225654
2023-02-27	262442806152
2023-03-06	1715096911195
2023-03-13	168358579056
2023-03-20	260405684032
2023-03-27	9475424963
2023-04-03	182032467582
2023-04-10	33931740355470
2023-04-17	8356898009
2023-04-24	268932663183
2023-05-01	10992908695
2023-05-08	4753662045958
2023-05-15	101439764541
2023-05-22	213552385721
2023-05-29	137834748
2023-06-05	38591243976
2023-06-12	70659764736
2023-06-19	1356599213499
2023-06-26	177129163154
2023-07-03	78974886295
2023-07-10	70221651670
2023-07-17	518482014902
2023-07-24	307775077583
2023-07-31	65220135779
2023-08-07	897617072433
2023-08-14	157145070302
2023-08-21	84024238528
2023-08-28	2617145773921
2023-09-04	1803583765856
2023-09-11	931199883160
2023-09-18	728218185244
2023-09-25	710816004603
2023-10-02	1505889784475
2023-10-09	1289374203989
2023-10-16	10462013635170
2023-10-23	13616528397159
2023-10-30	13630658535009
2023-11-06	6919189257563
2023-11-13	2290920391773
2023-11-20	1640563664290
2023-11-27	1845207244590
2023-12-04	7013938284277
2023-12-11	4983970680790
2023-12-18	1582012285646
2023-12-25	98884979570
2024-01-01	167054967103
2024-01-08	1624426930100
2024-01-15	2306678225183
2024-01-22	1878351306916
2024-01-29	2377794269404
2024-02-05	1278786035231
2024-02-12	5393725338722
2024-02-19	1190929726342
2024-02-26	2199189562657
2024-03-04	98211184796
2024-03-11	1437115719873
2024-03-18	1826605471137
2024-03-25	1480374707917
2024-04-01	734050437741
2024-04-08	297155766263
2024-04-15	336557857300
2024-04-22	416809431048
2024-04-29	2954449189777
2024-05-06	712735326916
2024-05-13	2224895092696
2024-05-20	3813832382852
2024-05-27	577756407069
2024-06-03	1438615321026
2024-06-10	2240852660350
2024-06-17	3001741359621
2024-06-24	67876919524
2024-07-01	425938485137
2024-07-08	308992381207
2024-07-15	216128040037
2024-07-22	86725459768
2024-07-29	179168065950
2024-08-05	106036115895
2024-08-12	277643354195
2024-08-19	188957821788
2024-08-26	36883194867826
2024-09-02	133726455571151
2024-09-09	190165135657494
2024-09-16	1236812411476
2024-09-23	1237666162438
2024-09-30	1037856097908
2024-10-07	111092419988
2024-10-14	86971728677
2024-10-21	302308628708
2024-10-28	234982434478
