date	bytes_sent	number_of_requests	number_of_downloads
2023-04-08	38128728	<50	<50
2023-04-12	1904844	<50	<50
2023-04-13	21745344	<50	<50
2023-04-14	1568016	<50	<50
2023-05-01	12353664	<50	<50
2023-05-04	38128728	<50	<50
2023-05-14	10908800	<50	<50
2023-05-17	38128728	<50	<50
2023-05-23	494112	740	<50
2023-05-25	81400096	760	<50
2023-05-26	487712	740	<50
2023-05-27	243856	360	<50
2023-05-28	243856	360	<50
2023-05-29	2108656	360	<50
2023-05-30	243856	360	<50
2023-05-31	243856	360	<50
2023-06-01	243856	360	<50
2023-06-02	243856	360	<50
2023-06-03	243856	360	<50
2023-06-04	243856	360	<50
2023-06-05	243856	360	<50
2023-06-06	243856	360	<50
2023-06-07	243856	360	<50
2023-06-08	243856	360	<50
2023-06-09	12597520	360	<50
2023-06-10	243856	360	<50
2023-06-11	243856	360	<50
2023-06-12	47764264	380	<50
2023-06-13	76501312	400	<50
2023-06-14	2148700	360	<50
2023-06-15	243856	360	<50
2023-06-16	5838256	360	<50
2023-06-17	487712	740	<50
2023-06-18	243856	360	<50
2023-06-19	243856	360	<50
2023-06-20	243856	360	<50
2023-06-21	243856	360	<50
2023-06-22	243856	360	<50
2023-06-23	243856	360	<50
2023-06-24	487712	740	<50
2023-06-25	8107088	740	<50
2023-06-26	11672920	380	<50
2023-06-27	1773648	360	<50
2023-06-28	243856	360	<50
2023-06-29	243856	360	<50
2023-06-30	243856	360	<50
2023-07-01	7863232	380	<50
2023-07-02	243856	360	<50
2023-07-03	2148700	360	<50
2023-07-04	243856	360	<50
2023-07-05	243856	360	<50
2023-07-06	243856	360	<50
2023-07-07	243856	360	<50
2023-07-08	243856	360	<50
2023-07-09	243856	360	<50
2023-07-10	243856	360	<50
2023-07-11	243856	360	<50
2023-07-12	243856	360	<50
2023-07-13	243856	360	<50
2023-07-14	243856	360	<50
2023-07-15	243856	360	<50
2023-07-16	243856	360	<50
2023-07-17	243856	360	<50
2023-07-18	243856	360	<50
2023-07-19	243856	360	<50
2023-07-20	243856	360	<50
2023-07-21	243856	360	<50
2023-07-22	243856	360	<50
2023-07-23	243856	360	<50
2023-07-24	243856	360	<50
2023-07-25	243856	360	<50
2023-07-26	243856	360	<50
2023-07-27	76501312	400	<50
2023-07-28	243856	360	<50
2023-07-29	243856	360	<50
2023-07-30	11152656	360	<50
2023-07-31	243856	360	<50
2023-08-01	38372584	380	<50
2023-08-02	243856	360	<50
2023-08-03	243856	360	<50
2023-08-04	243856	360	<50
2023-08-05	243856	360	<50
2023-08-06	243856	360	<50
2023-08-07	243856	360	<50
2023-08-08	243856	360	<50
2023-08-09	243856	360	<50
2023-08-10	243856	360	<50
2023-08-11	243856	360	<50
2023-08-12	243856	360	<50
2023-08-13	243856	360	<50
2023-08-14	243856	360	<50
2023-08-15	131079813	700	<50
2023-08-16	243856	360	<50
2023-08-17	243856	360	<50
2023-08-18	243856	360	<50
2023-08-19	243856	360	<50
2023-08-20	243856	360	<50
2023-08-21	243856	360	<50
2023-08-22	243856	360	<50
2023-08-23	243856	360	<50
2023-08-24	243856	360	<50
2023-08-25	243856	360	<50
2023-08-26	243856	360	<50
2023-08-27	243856	360	<50
2023-08-28	243856	360	<50
2023-08-29	11152656	360	<50
2023-08-30	243856	360	<50
2023-08-31	22061456	380	<50
2023-09-01	243856	360	<50
2023-09-02	243856	360	<50
2023-09-03	731568	1100	<50
2023-09-04	243856	360	<50
2023-09-05	243856	360	<50
2023-09-06	243856	360	<50
2023-09-07	487712	740	<50
2023-09-08	243856	360	<50
2023-09-09	243856	360	<50
2023-09-10	243856	360	<50
2023-09-11	243856	360	<50
2023-09-12	243856	360	<50
2023-09-13	243856	360	<50
2023-09-14	243856	360	<50
2023-09-15	243856	360	<50
2023-09-16	243856	360	<50
2023-09-17	243856	360	<50
2023-09-18	38372584	380	<50
2023-09-19	243856	360	<50
2023-09-20	243856	360	<50
2023-09-21	243856	360	<50
2023-09-22	243856	360	<50
2023-09-23	243856	360	<50
2023-09-24	243856	360	<50
2023-09-25	487712	740	<50
2023-09-26	243856	360	<50
2023-09-27	11152656	360	<50
2023-09-28	243856	360	<50
2023-09-29	243856	360	<50
2023-09-30	243856	360	<50
2023-10-01	243856	360	<50
2023-10-02	243856	360	<50
2023-10-03	243856	360	<50
2023-10-11	243856	360	<50
2023-10-15	243856	360	<50
2023-10-20	12353664	<50	<50
2023-10-22	3472860	<50	<50
2023-10-23	10908800	<50	<50
2023-10-24	11152656	360	<50
2023-11-02	11152656	360	<50
2023-11-03	38128728	<50	<50
2023-11-05	1575432	<50	<50
2023-11-06	243856	360	<50
2023-11-14	12353664	<50	<50
2023-11-15	38128728	<50	<50
2023-11-16	243856	360	<50
2023-11-17	39332800	380	<50
2023-11-18	243856	360	<50
2023-11-19	1904844	<50	<50
2023-11-21	4178532	<50	<50
2023-11-22	38372584	380	<50
2023-11-24	2273688	<50	<50
2023-12-01	243856	360	<50
