week_start	sub-H17.03.013/sub-H17.03.013_ses-636982248_icephys.nwb	sub-H17.03.013/sub-H17.03.013_ses-636991746_icephys.nwb	sub-H17.06.013/sub-H17.06.013_ses-643583112_icephys.nwb	sub-H17.26.003/sub-H17.26.003_ses-650074243_icephys.nwb	sub-H18.03.003/sub-H18.03.003_ses-665695908_icephys.nwb	sub-H18.03.003/sub-H18.03.003_ses-665703339_icephys.nwb	sub-H18.03.003/sub-H18.03.003_ses-665718232_icephys.nwb	sub-H18.03.003/sub-H18.03.003_ses-666067870_icephys.nwb	sub-H18.03.003/sub-H18.03.003_ses-666108636_icephys.nwb	sub-H18.03.315/sub-H18.03.315_ses-740695185_icephys.nwb	sub-H18.03.317/sub-H18.03.317_ses-760695943_icephys.nwb	sub-H18.06.371/sub-H18.06.371_ses-793604699_icephys.nwb	sub-H19.03.306/sub-H19.03.306_ses-835704054_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-910298720_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-910319653_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-910352435_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-910352638_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-910408142_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-910434305_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-910459748_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-910477695_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-910809635_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-910813336_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-910817683_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-912009042_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-912063850_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-912201092_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-912228391_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-912289929_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-912335658_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-912369140_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-914257522_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-914342344_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-914354777_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-914355964_icephys.nwb	sub-H19.03.316/sub-H19.03.316_ses-914396880_icephys.nwb
2022-06-27	40689226	20063870	0	41943040	45844318	33554432	8388608	6282398	29481674	3589281	13477086	41943040	16777216	3230157	20224664	17651894	8388608	14812704	8582071	26473972	21954003	16777216	25165824	16777216	29806800	25088223	0	23297084	25169513	10747186	0	15337829	31802316	16777216	16777216	8388608
2022-07-11	0	0	0	37827480	20971520	34509280	13361172	14671006	58234437	0	0	105146107	28084590	20007373	20224664	31109484	31846868	25431104	0	31976424	22936486	22148547	42096392	1391692	52861356	25088223	22312366	25622648	29367506	19135794	23511948	23726437	56946869	23293952	33808726	10317129
2022-07-18	0	0	0	0	0	0	0	0	0	0	21865694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-25	0	0	13180927	0	0	0	13361172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-01	20344613	0	289980394	0	0	8388608	347390472	6282398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25088223	0	0	0	10747186	0	0	0	0	0	0
2022-08-08	0	0	250437613	54476848	54232926	0	240501096	0	0	0	21865694	0	24528055	0	0	26040502	26409194	23201312	25359287	26473972	21954003	22148547	0	22363212	38195408	0	0	23297084	25169513	0	22241734	23726437	40190924	0	0	0
2022-08-15	0	0	79085562	0	0	0	93528204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-22	20344613	20063870	13180927	54476848	54232926	0	0	14671006	0	20366497	21865694	88257434	24528055	80029492	20224664	0	0	0	0	0	21954003	0	0	0	38195408	0	21641943	23297084	0	19135794	0	0	0	22132736	33808726	156443245
2022-08-29	0	0	0	0	0	0	93528204	0	0	0	0	0	0	0	0	52081004	0	0	50718574	0	0	0	0	22363212	0	0	0	0	0	172222146	0	0	0	22132736	0	0
2022-09-05	0	0	0	0	0	0	120250548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133950558	0	0	0	0	0	0
